_id,title,title_ar,desc,desc_ar,img,categories,size,color,price,originalPrice,inStock,quantity,width,height,length,weight,promo_code,promo_startDate,promo_endDate,discount_startDate,discount_endDate,discount_amount,variant_id,Column1,_1
65aa7fcd6765faad22ad1111,Odsufo Quilted Jackets For Women,جاكيتات أودسوفو مبطنة للنساء," This winter coats for women is made of NYLON 100%. Lightweight fabric but warm and skin-friendly, which makes it durable enough and fashion style in cold winter.","هذه المعاطف الشتوية للسيدات مصنوعة من النايلون بنسبة 100%. نسيج خفيف الوزن ولكنه دافئ وصديق للبشرة، مما يجعله متينًا بما فيه الكفاية ونمط عصري في الشتاء البارد.",https://m.media-amazon.com/images/I/71VNKpdpbkL._AC_SY606_.jpg,jeans,S,#272624,120,130,TRUE,11,11,11,11,11,111,1970-01-01 4:00,1970-01-01 4:00,1970-01-01 4:00,1970-01-01 4:00,11,65aa7fcd6765faad22ad1211,,
65aa7fcd6765faad22ad1111,Odsufo Quilted Jackets For Women,جاكيتات أودسوفو مبطنة للنساء," This winter coats for women is made of NYLON 100%. Lightweight fabric but warm and skin-friendly, which makes it durable enough and fashion style in cold winter.","هذه المعاطف الشتوية للسيدات مصنوعة من النايلون بنسبة 100%. نسيج خفيف الوزن ولكنه دافئ وصديق للبشرة، مما يجعله متينًا بما فيه الكفاية ونمط عصري في الشتاء البارد.",https://m.media-amazon.com/images/I/61X-lDHE-BL._AC_SX522_.jpg,jeans,M,#c9af93,120,130,TRUE,11,11,11,11,11,111,1970-01-01 4:00,1970-01-01 4:00,1970-01-01 4:00,1970-01-01 4:00,11,65aa7fcd6765faad22ad1212,,
65aa7fcd6765faad22ad1111,Odsufo Quilted Jackets For Women,جاكيتات أودسوفو مبطنة للنساء," This winter coats for women is made of NYLON 100%. Lightweight fabric but warm and skin-friendly, which makes it durable enough and fashion style in cold winter.","هذه المعاطف الشتوية للسيدات مصنوعة من النايلون بنسبة 100%. نسيج خفيف الوزن ولكنه دافئ وصديق للبشرة، مما يجعله متينًا بما فيه الكفاية ونمط عصري في الشتاء البارد.",https://m.media-amazon.com/images/I/617ODT6mbML._AC_SX522_.jpg,jeans,L,#f275a2,120,130,TRUE,11,11,11,11,11,111,1970-01-01 4:00,1970-01-01 4:00,1970-01-01 4:00,1970-01-01 4:00,11,65aa7fcd6765faad22ad1213,,
65aa7fcd6765faad22ad1111,Odsufo Quilted Jackets For Women,جاكيتات أودسوفو مبطنة للنساء," This winter coats for women is made of NYLON 100%. Lightweight fabric but warm and skin-friendly, which makes it durable enough and fashion style in cold winter.","هذه المعاطف الشتوية للسيدات مصنوعة من النايلون بنسبة 100%. نسيج خفيف الوزن ولكنه دافئ وصديق للبشرة، مما يجعله متينًا بما فيه الكفاية ونمط عصري في الشتاء البارد.",https://m.media-amazon.com/images/I/61oMyckrYRL._AC_SX522_.jpg,jeans,XL,#d8ac45,120,130,TRUE,11,11,11,11,11,111,1970-01-01 4:00,1970-01-01 4:00,1970-01-01 4:00,1970-01-01 4:00,11,65aa7fcd6765faad22ad1214,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
